شماره دانشجويي,نام درس,کد درس ,گروه درس ,
195,مباني منطق و نظريه مجموعه,1218243,2,
195,نرم,1316283,1,
195,نظريه مقدماتي اعداد,1218253,1,
196,برنامه سازي پيشرفته وکارگاه,1316234,1,
196,مباني کارآفريني,1236322,1,
196,مباني آناليز عددي,1218133,1,
196,مباني احتمال,1319153,1,
196,مباني ماتريسها و جبر خطي,1218103,1,
197,مباني کامپيوتر و برنامه,1236313,4,
197,مباني آناليز عددي,1218133,2,
197,مباني ترکيبيات,1218163,1,
197,مباني ماتريسها و جبر خطي,1218103,2,
198,احتمال 1,1218203,1,
198,اصول سيستمهاي کامپيوتري,1218374,1,
198,ساختمان داده,1218304,2,
199,فلسفه علم,1218563,1,
199,مباني آناليز رياضي,1218123,1,
199,مباني جبر,1218173,1,
199,مباني ماتريسها و جبر خطي,1218103,2,
199,نظريه مقدماتي اعداد,1218253,1,
200,ساختمان داده,1218304,1,
200,مباني آناليز عددي,1218133,1,
200,مباني احتمال,1319153,1,
200,مباني ماتريسها و جبر خطي,1218103,1,
201,اصول سيستمهاي کامپيوتري,1218374,1,
201,ساختمان داده,1218304,1,
201,مباني آناليز عددي,1218133,2,
201,مباني احتمال,1319153,1,
201,مباني ماتريسها و جبر خطي,1218103,1,
202,برنامه سازي پيشرفته وکارگاه,1316234,1,
202,زبان تخصصي,1218603,1,
202,مباني کارآفريني,1236322,1,
202,مباني آناليز عددي,1218133,1,
202,مباني احتمال,1319153,1,
203,مباني آناليز عددي,1218133,2,
203,مباني احتمال,1319153,1,
203,مباني ترکيبيات,1218163,1,
203,مباني ماتريسها و جبر خطي,1218103,2,
204,برنامه سازي پيشرفته وکارگاه,1316234,1,
204,مباني آناليز رياضي,1218123,1,
204,مباني ترکيبيات,1218163,1,
204,مباني ماتريسها و جبر خطي,1218103,2,
204,نرم,1316283,1,
205,مباني آناليز عددي,1218133,2,
205,مباني ترکيبيات,1218163,1,
205,مباني علوم رياضي,1236303,1,
205,مباني ماتريسها و جبر خطي,1218103,2,
205,نرم,1316283,1,
206,مباني آناليز عددي,1218133,2,
206,مباني احتمال,1319153,1,
206,مباني ماتريسها و جبر خطي,1218103,1,
206,مباني منطق و نظريه مجموعه,1218243,2,
206,نرم,1316283,1,
207,برنامه سازي پيشرفته وکارگاه,1316234,1,
207,زبان تخصصي,1218603,1,
207,مباني آناليز عددي,1218133,1,
207,مباني ماتريسها و جبر خطي,1218103,2,
208,زبان تخصصي,1218603,1,
208,مباني آناليز رياضي,1218123,1,
208,مباني جبر,1218173,1,
208,مباني ماتريسها و جبر خطي,1218103,2,
208,نظريه مقدماتي اعداد,1218253,1,
209,ساختمان داده,1218304,2,
209,مباني کارآفريني,1236322,1,
209,مباني ترکيبيات,1218163,1,
209,نرم,1316283,1,
210,برنامه سازي پيشرفته وکارگاه,1316234,1,
210,مباني ماتريسها و جبر خطي,1218103,1,
211,اصول سيستمهاي کامپيوتري,1218374,1,
211,ساختمان داده,1218304,2,
211,مباني ماتريسها و جبر خطي,1218103,1,
212,برنامه سازي پيشرفته وکارگاه,1316234,1,
212,مباني آناليز عددي,1218133,2,
212,مباني ماتريسها و جبر خطي,1218103,1,
212,نرم,1316283,1,
212,نظريه گراف,1129043,1,
213,زبان تخصصي,1218603,1,
